judul,link,status
"Zulhas: Program Makan Bergizi Gratis Jangkau 60 Juta Penerima","https://sultra.antaranews.com/berita/527646/zulhas-program-makan-bergizi-gratis-jangkau-60-juta-penerima-sppg-capai-22-ribu",Real
"[HOAKS] Penyaluran MBG Diubah Jadi Uang Tunai Rp300.000 Per Bulan","https://dinkominfo.purworejokab.go.id/hoaks-penyaluran-mbg-diubah-jadi-uang-tunai-rp300000-per-bulan",Fake
"Satgas MBG Cianjur Hentikan Sementara Dapur SPPG di Tiga Kecamatan","https://www.antaranews.com/berita/4422315/satgas-mbg-cianjur-hentikan-sementara-dapur-sppg-di-tiga-kecamatan",Real
"Pemerintah Kembali Memulai Pelaksanaan Program MBG Awal Tahun 2026","https://www.youtube.com/watch?v=Bbfp8gDdlXY",Real
"Pemerintah Siapkan Rp335 Triliun untuk Program MBG di 2026","https://www.antaranews.com/berita/527646/pemerintah-siapkan-rp335-triliun-untuk-program-mbg-di-2026",Real
"[HOAKS] BGN Benarkan Baki Program MBG Mengandung Lemak Babi","https://ppid.diskominfo.jatengprov.go.id/isu-hoaks-disinformasi-1-november-2025/",Fake
"Dikbud Sultra Dorong SMK Mandiri Jadi Penopang Program MBG","https://sultra.antaranews.com/berita/527646/dikbud-sultra-dorong-smk-mandiri-dan-jadi-penopang-program-mbg",Real
"Lima Titik Dapur MBG di Pulau Towea Muna Mulai Dibangun","https://sultra.antaranews.com/berita/527646/lima-titik-dapur-mbg-di-pulau-towea-muna-mulai-bangun",Real
"[HOAKS] Program Makan Bergizi Gratis Diganti Skema Uang Tunai","https://ppid.diskominfo.jatengprov.go.id/isu-hoaks-disinformasi-24-november-2025/",Fake
"Penerima MBG di Sultra Capai 438.403 Orang Per Desember 2025","https://sultra.antaranews.com/berita/527646/penerima-mbg-di-sultra-capai-438403-orang-per-desember",Real
"SPPG Polri Terapkan Standar Keamanan Pangan MBG di Kolaka","https://sultra.antaranews.com/berita/527646/sppg-polri-terapkan-standar-keamanan-pangan-mbg-di-kolaka",Real
"Wapres Gibran Minta Penanganan Maksimal Korban Kecelakaan Mobil MBG","https://www.antaranews.com/video/4412358/wapres-gibran-tinjau-uji-coba-mbg-di-jakarta",Real
"Gubernur Sultra: SPPG ke-301 di Lanud Layani 3.589 Penerima MBG","https://sultra.antaranews.com/berita/527646/gubernur-sultra-sppg-ke-301-di-lanud-layani-3589-penerima-mbg",Real
"[HOAKS] Presiden Prabowo Setuju Berhentikan Program MBG","https://infopublik.id/kategori/siaran-pers/942759/hoaks-presiden-prabowo-setuju-berhentikan-program-makan-bergizi-gratis-mbg",Fake
"Satu Tahun Prabowo-Gibran MBG Sentuh 36.7 Juta Penerima Manfaat","https://infopublik.id/kategori/prioritas-nasional/943430/satu-tahun-pemerintahan-prabowo-gibran-mbg-sentuh-36-7-juta-penerima-manfaat",Real
"Presiden: MBG Bukan Sekadar Makan Tapi Investasi Masa Depan","https://www.presidenri.go.id/siaran-pers/presiden-prabowo-program-makan-bergizi-gratis-adalah-investasi-untuk-masa-depan-bangsa/",Real
"[HOAKS] Link Pendaftaran Relawan MBG Bergaji Rp6 Juta","https://nasional.kompas.com/read/2025/04/22/13310011/infografik-hoaks-tautan-untuk-daftar-relawan-makan-bergizi-gratis-awas",Fake
"BGN Paparkan Alasan Tidak Beri Uang Tunai ke Orang Tua untuk MBG","https://m.antaranews.com/amp/berita/4411937/bgn-paparkan-alasan-tidak-memberi-uang-tunai-ke-orang-tua-untuk-mbg",Real
"Makan Bergizi Gratis: Antara Bantuan atau Risiko Ketergantungan?","https://sultra.antaranews.com/berita/527646/makan-bergizi-gratis-bantuan-atau-risiko-ketergantungan",Real
"[HOAKS] Pendaftaran Penerima MBG Tahap 2 Melalui Form Google Doc","https://trustpositive.kominfo.go.id/hoaks-pendaftaran-penerima-mbg-tahap-2",Fake
"Badan Gizi Nasional Pastikan Menu MBG Sesuai Standar Kalori Harian Anak","https://www.antaranews.com/berita/445566/badan-gizi-nasional-pastikan-menu-mbg-sesuai-standar",Real
"[HOAKS] Beredar Akun WhatsApp Mengatasnamakan Kepala Badan Gizi Nasional","https://turnbackhoax.id/2025/01/20/hoaks-akun-wa-kepala-bgn-minta-dana-pengadaan",Fake
"Dadan Hindayana: Program Makan Bergizi Gratis Habiskan Rp1,2 Triliun Per Hari","https://bisnis.tempo.co/read/189999/dadan-hindayana-mbg-habiskan-triliunan",Real
"[HOAKS] Subsidi Makan Bergizi Gratis Dapat Dicairkan Lewat Saldo DANA","https://kominfo.go.id/content/detail/5544/hoaks-subsidi-mbg-cair-via-dana",Fake
"Ahli Gizi Soroti Penggunaan Susu Ikan dalam Program MBG","https://health.detik.com/berita-detikhealth/d-755566/ahli-gizi-soroti-susu-ikan-pengganti-susu-sapi",Real
"Uji Coba Makan Bergizi Gratis di Solo Tuai Respons Positif dari Wali Murid","https://www.solopos.com/uji-coba-mbg-solo-respon-positif-123456",Real
"[HOAKS] Formulir Online Pendaftaran Penerima Rice Cooker dan Paket MBG","https://jalahoaks.jakarta.go.id/detail/2025/02/hoaks-form-rice-cooker-mbg",Fake
"Pemerintah Libatkan Koperasi dan UMKM dalam Rantai Pasok MBG","https://kemenkopukm.go.id/read/pemerintah-libatkan-koperasi-umkm-mbg",Real
"[HOAKS] Anak Tidak Sekolah Wajib Bayar Denda Jika Tidak Ikut MBG","https://turnbackhoax.id/2025/03/hoaks-denda-mbg-anak-sekolah",Fake
"Menkeu Sri Mulyani Pastikan Anggaran MBG Rp71 Triliun Aman di APBN 2025","https://keuangan.kontan.co.id/news/sri-mulyani-pastikan-anggaran-mbg-aman",Real
"DPR RI Dukung Pembentukan Satuan Pelayanan Gizi di Setiap Desa","https://www.dpr.go.id/berita/detail/id/44556/dpr-dukung-satuan-pelayanan-gizi",Real
"[HOAKS] Program Makan Bergizi Gratis Dibatalkan Karena Kas Negara Kosong","https://sewasyam.id/hoaks-mbg-batal-kas-kosong",Fake
"Polemik Impor Sapi Perah untuk Penuhi Kebutuhan Susu Program MBG","https://ekonomi.kompas.com/read/2025/01/15/polemik-impor-sapi-mbg",Real
"[HOAKS] Lowongan Kerja Tim Masak MBG Gaji 10 Juta Tanpa Tes","https://naker.go.id/hoaks-loker-mbg-gaji-fantastis",Fake
"Siswa SD di Papua Sambut Antusias Program Makan Bergizi Gratis","https://papua.antaranews.com/berita/5567/siswa-sd-papua-sambut-mbg",Real
"[HOAKS] Makanan Program MBG Mengandung Zat Pengawet Berbahaya dari China","https://cekfakta.com/focus/12345/hoaks-mbg-pengawet-china",Fake
"TNI dan Polri Siapkan Dapur Umum Mobile untuk Jangkau Wilayah Terpencil","https://tni.mil.id/berita-dapur-umum-mbg-terpencil",Real
"Mendikdasmen: Jam Makan Bergizi Gratis Tidak Akan Ganggu Jam Belajar","https://kemdikbud.go.id/berita/jam-makan-mbg-tidak-ganggu-kbm",Real
"[HOAKS] Kartu Pelanggan MBG VIP Berbayar Untuk Menu Spesial","https://kominfo.go.id/hoaks-kartu-vip-mbg",Fake
"Peternak Lokal Siap Suplai Telur dan Daging Ayam untuk Program MBG","https://pertanian.go.id/berita/peternak-lokal-suplai-mbg",Real
"[HOAKS] Link Cek Status Penerima MBG Berhadiah Smartphone","https://cyberthreat.id/read/hoaks-link-phishing-mbg",Fake
"Evaluasi Uji Coba MBG: Masalah Sampah Kemasan Jadi Sorotan","https://www.mongabay.co.id/2025/02/sampah-kemasan-mbg-jadi-sorotan",Real
"Bapanas Pastikan Stok Beras Cukup untuk Dukung Program Makan Bergizi","https://badanpangan.go.id/berita/stok-beras-cukup-mbg",Real
"[HOAKS] Wajib Pajak Dipotong 5 Persen Otomatis untuk Danai MBG","https://pajak.go.id/id/hoaks-potongan-pajak-mbg",Fake
"Viral Menu MBG Sesuai Kearifan Lokal: Papeda hingga Bubur Manado","https://regional.kompas.com/read/2025/03/menu-mbg-kearifan-lokal",Real
"[HOAKS] Sertifikat Halal Makanan MBG Dicabut MUI","https://mui.or.id/berita/hoaks-sertifikat-halal-mbg",Fake
"Presiden Instruksikan Pengawasan Ketat Anggaran MBG Agar Tidak Bocor","https://setkab.go.id/presiden-instruksi-pengawasan-mbg",Real
"Sistem Digitalisasi MBG Akan Diterapkan untuk Transparansi Penyaluran","https://aptika.kominfo.go.id/berita/digitalisasi-mbg-transparansi",Real
"[HOAKS] Video Pabrik Makanan MBG Jorok dan Banyak Tikus","https://turnbackhoax.id/2025/04/video-hoaks-pabrik-mbg-jorok",Fake
"Guru Honorer Dilibatkan Sebagai Pengawas Distribusi Makanan di Sekolah","https://jpnn.com/news/guru-honorer-jadi-pengawas-mbg",Real
